"rank","word","pronunciation","pos","cn","en"
"1","the","/ði/","det","这","used to refer to something already mentioned"
"2","be","/bi/","verb","是","To exist; to be alive; used to give information about someone or something"
"3","and","/ænd/","conj","和","used to refer to two or more things"
"4","of","/ɑv/","prep","...的","belonging to or connected with something"
"5","to","/tu/","prep","向；朝","move towards; in the direction of"
"6","a","/ə/","det","一","one (of something)"
"7","in","/ɪn/","prep","在...里面","being inside something"
"8","have","/hæv/","aux","拥有","to own, possess, or hold something"
"9","it","/ɪt/","pron","它","a thing that has been previously mentioned"
"10","you","/ju/","pron","你","person someone is speaking or writing to"
"11","he","/hi/","pron","他","object form of a male person you are talking about"
"12","for","/fɔr/","prep","为了","used to show the purpose, or need of something"
"13","they","/ðeɪ/","pron","他们","used to refer to two or more people, animals, or things"
"14","not","/nɒt/","adv","不是","word indicating the negative of verbs, adjectives, etc."
"15","that","/ðæt/","pron","那个","used to show which person or thing we are talking about"
"16","we","/wi/","pron","我们","used to refer to the speaker and other people together"
"17","on","/ɑn/","prep","在...之上","located on the surface of something (e.g., a table or wall)"
"18","with","/wɪð/","prep","和...在一起","used to express that people or things are together"
"19","this","/ðɪs/","pron","这个","person, thing, or idea near you"
"20","I","/aɪ/","pron","我","the person who is speaking or writing"
"21","do","/du/","verb","做","to act; to perform actions"
"22","as","/æz/","prep","像","a word used to compare two equal things"
"23","at","/æt/","prep","在","in the place where something is"
"24","she","/ʃi/","pron","她","female person or animal mentioned before"
"25","but","/bʌt/","conj","但是","used before you say something different, opposite"
"26","from","/frɑm/","prep","从...开始","starting at a particular place, time, or level"
"27","by","/baɪ/","prep","靠近；在...身边","near; with"
"28","will","/wɪl/","aux","将","used with verbs to express the future"
"29","or","/ɔr/","conj","或者","used to link alternatives, to introduce another choice"
"30","say","/seɪ/","verb","说","to use words to tell a message"
"31","go","/goʊ/","verb","走","to move or travel to another place"
"32","so","/soʊ/","conj","所以","for that reason"
"33","all","/ɔl/","adv","完全；所有","completely; totally"
"34","if","/ɪf/","conj","如果","introducing a condition for something to happen"
"35","one","/wʌn/","num","一","number 1"
"36","would","/wʊd/","aux","将会","modal verb used to indicate possibility, request, etc."
"37","about","/əˈbaʊt/","prep","关于","of (a subject); concerning"
"38","can","/kæn/","aux","能够","to be able to; have the skill to; have the time to"
"39","which","/wɪtʃ/","adj","哪个","question word to ask about a person's choice"
"40","there","/ðɛər/","adv","那里","in that place or position, at that location"
"41","know","/noʊ/","verb","知道","to have knowledge of things in your mind"
"42","more","/mɔr/","adj","更多的","greater in amount, number, or size"
"43","get","/gɛt/","verb","得到","to obtain, receive, or be given something"
"44","who","/hu/","pron","谁","what or which person or people, to ask about, talking about"
"45","like","/laɪk/","verb","喜欢","to find something pleasing; to prefer something"
"46","when","/wɛn/","noun","什么时候","word you use to ask about the time or day"
"47","think","/θɪŋk/","verb","认为；想","to have an idea, opinion, or belief about something"
"48","make","/meɪk/","verb","制作","to create something by putting things together"
